code,location
506761,Alojzov
589268,Bedihošť
589276,Bílovice-Lutotín
589284,Biskupice
589292,Bohuslavice
589306,Bousín
589314,Březsko
589322,Budětsko
589331,Buková
589349,Čehovice
589357,Čelčice
589365,Dětkovice
589381,Dobrochov
589390,Dobromilice
589403,Doloplazy
589420,Drahany
589438,Držovice
589446,Dřevnovice
589454,Dzbel
589462,Hačky
558419,Hluchov
589489,Horní Štěpánov
589497,Hradčany-Kobeřice
549967,Hrdibořice
589501,Hrubčice
589519,Hruška
589527,Hvozd
589535,Ivaň
589543,Jesenec
543543,Kladky
589560,Klopotovice
589578,Konice
589586,Koválovice-Osíčany
589594,Krumsín
589608,Laškov
589616,Lešany
589624,Lipová
589632,Ludmírov
589641,Malé Hradisko
589659,Mořice
589667,Mostkovice
589675,Myslejovice
589683,Nezamyslice
589691,Niva
589705,Obědkovice
589713,Ohrozim
589721,Ochoz
589730,Ondratice
589748,Otaslavice
589756,Otinoves
589764,Pěnčín
589772,Pivín
589799,Plumlov
589802,Polomí
589811,Prostějov
589829,Prostějovičky
589837,Protivanov
589845,Přemyslovice
589853,Ptení
557196,Rakůvka
589870,Rozstání
589888,Seloutky
589896,Skalka
549983,Skřípov
589250,Slatinky
589918,Smržice
589926,Srbce
589934,Stařechovice
589942,Stínava
589951,Stražisko
589969,Suchdol
589977,Šubířov
506770,Tištín
589993,Tvorovice
590002,Určice
590011,Víceměřice
590029,Vícov
590045,Vincencov
590053,Vitčice
590061,Vranovice-Kelčice
590070,Vrbátky
590088,Vrchoslavice
590096,Vřesovice
590100,Výšovice
590118,Zdětín
590126,Želeč
